page_ascore;source_url;source_title;target_url;anchor;nofollow;first_seen;last_seen
7;https://www.hotcity.co.nz/business-directory/divan-cafe;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1727353933;1776874274
7;https://www.hotcity.co.nz/business-directory/edmund-hillary-brands-nz-ltd;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1753625752;1776928013
7;https://www.hotcity.co.nz/business-directory/employment-disputes-services;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1752420937;1776981050
7;https://www.hotcity.co.nz/business-directory/envisage-design-ltd;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1727147584;1776887767
7;https://www.hotcity.co.nz/business-directory/first-title-pacific-ltd;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1752404558;1776028588
7;https://www.hotcity.co.nz/business-directory/fourthmedia;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1726909146;1776847798
7;https://www.hotcity.co.nz/business-directory/ghost-donkey;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1756109665;1776879065
7;https://www.hotcity.co.nz/business-directory/gloss-boats-marine-spraying;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1754633300;1776579041
7;https://www.hotcity.co.nz/business-directory/gullivers-pacific-ltd;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1727580423;1776014684
7;https://www.hotcity.co.nz/business-directory/hello-2-cafe-bar;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1727089585;1776836889
7;https://www.hotcity.co.nz/business-directory/hotel-hospitality-employment;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1726647248;1776028025
7;https://www.hotcity.co.nz/business-directory/ika-bowl-fort-lane;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1727121408;1776873922
7;https://www.hotcity.co.nz/business-directory/indochine-kitchen;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1734743117;1776951306
7;https://www.hotcity.co.nz/business-directory/international-cross-cultural-committee;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1726645682;1776851894
7;https://www.hotcity.co.nz/business-directory/j-stevenson-property-management;Business Directory | Heart of the City: Auckland's city centre business association;https://ctstours.co.nz/;www.chinatravel.co.nz;false;1726895435;1776966826
